parent_document_id,document_id,HaveSeenImages,accumulated_accuracy,all_accumulated_accuracy,anRepeatedItem,browser,browser_version,codeversion,condition,correct,correct_appear1,correct_appear2,correct_response,correct_response_key,current_assignmentTypesWithinList,designversion,failed_audio,failed_images,failed_video,fullscreen,height,id,id_picName,internal_node_id,is_changedfullscreen,is_chosenFinal,is_currentObjAppear1,is_finished,is_old,is_studied_appear0_initial,is_studied_appear1_initial,is_studied_appear2_initial,is_tested_appear0_initial,is_tested_appear1_initial,is_tested_appear2_initial,listNum_appear0_initial,listNum_appear1_initial,listNum_appear2_initial,listNum_infinalOrder,listNum_pickedFrom,microphone,mobile,num_CurrObjAppear,os,presPos_digit,question_order,recognition_correct,response,responsesum,rt,session_id,stimulus,stimulusConditionName_nPlusOneTrial,stimulusConditions,stimulus_id,studyPos_appear0_initial,studyPos_appear1_initial,studyPos_appear2_initial,study_id,subject_id,success,sum_currList,task,testPos_appear0_initial,testPos_appear1_initial,testPos_appear2_initial,testPos_final,time_elapsed,timeout,timepassed_mins,trial_index,trial_type,type_code_studiedCurr,type_code_testiedCurr,type_code_testiedNext,type_comment,vsync_rate,webaudio,webcam,width
67ed4e79983b8a8ba5517548,JYrVQ2vrgfnldfts1jVv,,0.8461538461538461,,True,,,2,r,True,,True,,f,T_foil,3,,,,,768,67ed4e79983b8a8ba5517548,1 (997).jpg,0.0-14.0-10.0-0.12,0,True,False,0,False,False,True,False,True,False,False,10,9,0,,0,,,2,,,,1,f,,1106,6814b07fa9fcffe154205df7,images/1 (997).jpg,Cn,Cn,,0,16,0,6814acf7a2b0960317ac048d,67ed4e79983b8a8ba5517548,,,initialTest_response,13,0,0,135,1654370,,27.61,747,image-keyboard-response,1,0,1,"studied only, in next trial, from last trial",,,,1366
67ed4e79983b8a8ba5517548,JangruK25mHWYKol2fQ3,,,,False,,,2,r,,,,,,T_target,3,,,,,768,67ed4e79983b8a8ba5517548,1 (1569).jpg,0.0-5.0-2.0-0.12,0,True,True,0,,True,True,False,True,True,False,1,1,0,8,0,,,1,,,,,,,,6814b07fa9fcffe154205df7,images/1 (1569).jpg,B,B,,13,13,0,6814acf7a2b0960317ac048d,67ed4e79983b8a8ba5517548,,,initial_study,18,18,0,393,292895,,4.92,19,image-keyboard-response,1,1,0,"current target, not in next trial",,,,1366
67ed4e79983b8a8ba5517548,Jd1TMweWQ0hR97I56CjS,,,,,,,2,r,,,,,,,3,,,,,768,67ed4e79983b8a8ba5517548,,0.0-11.0-5.0-0.3,0,,,0,,,,,,,,7,,,,,,,,,4,,,,,,6814b07fa9fcffe154205df7,5,,,5,,,,6814acf7a2b0960317ac048d,67ed4e79983b8a8ba5517548,,47,digitPresentation,,,,,1216975,,20.32,498,html-keyboard-response,,,,,,,,1366
67ed4e79983b8a8ba5517548,JfUw6xkYE8T4RGnMLymd,,0.9210526315789473,,,,,2,r,True,,,,f,F,3,,,,,768,67ed4e79983b8a8ba5517548,1 (506).jpg,0.0-16.0-1.0-0.37,0,True,,0,False,,False,False,,False,False,,0,0,1,1,,,1,,,,1,f,,902,6814b07fa9fcffe154205df7,images/1 (506).jpg,,FF,,,0,0,6814acf7a2b0960317ac048d,67ed4e79983b8a8ba5517548,,,finalTest,,0,0,38,1762856,,29.42,803,image-keyboard-response,,,,final Foil,,,,1366
67ed4e79983b8a8ba5517548,JhETuMePDTdvzMl3mN39,,,,,,,2,r,,,,,,,3,,,,,768,67ed4e79983b8a8ba5517548,,0.0-12.0-4.0-0.0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,6814b07fa9fcffe154205df7,"<div style=""font-size:60px;"">+</div>",,,,,,,6814acf7a2b0960317ac048d,67ed4e79983b8a8ba5517548,,,fixation,,,,,1339163,,22.36,570,html-keyboard-response,,,,,,,,1366
67ed4e79983b8a8ba5517548,JiR0G6Mjk2ekDkrocvKu,,,,False,,,2,r,,,,,,T_target,3,,,,,768,67ed4e79983b8a8ba5517548,1 (1399).jpg,0.0-9.0-2.0-0.1,0,True,True,0,,True,True,False,True,True,False,5,5,0,1,0,,,1,,,,,,,,6814b07fa9fcffe154205df7,images/1 (1399).jpg,B,B,,2,2,0,6814acf7a2b0960317ac048d,67ed4e79983b8a8ba5517548,,,initial_study,23,23,0,46,880524,,14.71,312,image-keyboard-response,1,1,0,"current target, not in next trial",,,,1366
67ed4e79983b8a8ba5517548,JrmjGKJg06xiAD9R2ukR,,0.8181818181818182,,False,,,2,r,True,True,,,j,T_target,3,,,,,768,67ed4e79983b8a8ba5517548,1 (2065).jpg,0.0-14.0-10.0-0.10,0,True,True,0,False,True,True,False,True,True,False,10,10,0,,0,,,1,,,,1,j,,801,6814b07fa9fcffe154205df7,images/1 (2065).jpg,B,B,,9,9,0,6814acf7a2b0960317ac048d,67ed4e79983b8a8ba5517548,,,initialTest_response,11,11,0,147,1652324,,27.58,745,image-keyboard-response,1,1,0,"current target, not in next trial",,,,1366
67ed4e79983b8a8ba5517548,K0EIqV8rFx4OXBfiHWjA,,,,False,,,2,r,,,,,,T_target,3,,,,,768,67ed4e79983b8a8ba5517548,1 (1063).jpg,0.0-5.0-2.0-0.6,0,True,True,0,,True,True,False,True,True,False,1,1,0,4,0,,,1,,,,,,,,6814b07fa9fcffe154205df7,images/1 (1063).jpg,B,B,,7,7,0,6814acf7a2b0960317ac048d,67ed4e79983b8a8ba5517548,,,initial_study,3,3,0,191,280173,,4.71,13,image-keyboard-response,1,1,0,"current target, not in next trial",,,,1366
67ed4e79983b8a8ba5517548,KIs429oCBmAQ9zWnSwlw,,0.8663366336633663,,,,,2,r,False,,,,f,F,3,,,,,768,67ed4e79983b8a8ba5517548,1 (1167).jpg,0.0-19.0-1.0-0.45,0,True,,0,False,,False,False,,False,False,,0,0,4,6,,,1,,,,0,j,,1151,6814b07fa9fcffe154205df7,images/1 (1167).jpg,,FF,,,0,0,6814acf7a2b0960317ac048d,67ed4e79983b8a8ba5517548,,,finalTest,,0,0,202,1931289,,32.23,967,image-keyboard-response,,,,final Foil,,,,1366
67ed4e79983b8a8ba5517548,KOMTsRn8SwTLfdO8x3dB,,0.96,,False,,,2,r,True,True,,,j,T_target,3,,,,,768,67ed4e79983b8a8ba5517548,1 (893).jpg,0.0-8.0-10.0-0.24,0,True,True,0,False,True,True,False,True,True,False,4,4,False,,0,,,1,,,,1,j,,772,6814b07fa9fcffe154205df7,images/1 (893).jpg,B,B,,15,15,0,6814acf7a2b0960317ac048d,67ed4e79983b8a8ba5517548,,,initialTest_response,25,25,0,492,869043,,14.52,303,image-keyboard-response,1,1,0,"current target, not in next trial",,,,1366
