parent_document_id,document_id,accumulated_accuracy,anRepeatedItem,browser,browser_version,codeversion,condition,correct,correct_appear1,correct_appear2,correct_response,correct_response_key,current_assignmentTypesWithinList,designversion,fullscreen,height,id,id_picName,internal_node_id,is_changedfullscreen,is_chosenFinal,is_currentObjAppear1,is_finished,is_old,is_studied_appear0_initial,is_studied_appear1_initial,is_studied_appear2_initial,is_tested_appear0_initial,is_tested_appear1_initial,is_tested_appear2_initial,listNum_appear0_initial,listNum_appear1_initial,listNum_appear2_initial,listNum_infinalOrder,listNum_pickedFrom,microphone,mobile,num_CurrObjAppear,os,presPos_digit,question_order,recognition_correct,response,responsesum,rt,session_id,stimulus,stimulusConditionName_nPlusOneTrial,stimulusConditions,stimulus_id,studyPos_appear0_initial,studyPos_appear1_initial,studyPos_appear2_initial,study_id,subject_id,success,sum_currList,task,testPos_appear0_initial,testPos_appear1_initial,testPos_appear2_initial,testPos_final,time_elapsed,timepassed_mins,trial_index,trial_type,type_code_studiedCurr,type_code_testiedCurr,type_code_testiedNext,type_comment,vsync_rate,webaudio,webcam,width
DEBUGV2,7fsaWtNV9Ge8qchwBVUf,0,True,,,2,r,False,,False,,f,T_foil,3,,1728,DEBUGV2,1 (592).jpg,0.0-10.0-10.0-0.7,0,False,False,0,False,False,True,False,True,False,True,6,5,6,,0,,,2,,,,0,,,,,images/1 (592).jpg,Cn,Cn,,0,9,0,,DEBUGV2,,,initialTest_response,8,0,8,0,27844,0.47,438,image-keyboard-response,1,0,1,"studied only, in next trial, from last trial",,,,2562
DEBUGV2,7hN2Tt92lOY57qcgmzck,,False,,,2,r,,,,,,T_nontarget,3,,1728,DEBUGV2,1 (652).jpg,0.0-13.0-2.0-0.19,0,False,True,0,,True,True,False,False,False,False,9,9,0,,0,,,1,,,,,,,,,images/1 (652).jpg,A,A,,20,20,0,,DEBUGV2,,,initial_study,0,0,0,0,31132,0.53,634,image-keyboard-response,1,0,0,"studied only, not in trial",,,,2562
DEBUGV2,7i32swFKQdA6QPdxnboe,0,False,,,2,r,False,False,,,j,T_target,3,,1728,DEBUGV2,1 (1237).jpg,0.0-10.0-10.0-0.11,0,True,True,0,False,True,True,False,True,True,False,6,6,False,,0,,,1,,,,0,,,,,images/1 (1237).jpg,B,B,,18,18,0,,DEBUGV2,,,initialTest_response,12,12,0,42,27935,0.48,442,image-keyboard-response,1,1,0,"current target, not in next trial",,,,2562
DEBUGV2,7jaC1cDNTwEj0koUwX9q,0,True,,,2,r,False,False,False,,f,T_foil,3,,1728,DEBUGV2,1 (842).jpg,0.0-9.0-10.0-0.23,0,True,False,0,False,False,False,False,True,False,True,5,4,5,,0,,,2,,,,0,,,,,images/1 (842).jpg,Fnn,Fnn,,0,0,0,,DEBUGV2,,,initialTest_response,24,0,24,90,26954,0.46,378,image-keyboard-response,0,1,1,"tested only, in next trial, from last trial",,,,2562
DEBUGV2,7jyWMH0QaoNsBPQmjCZR,0,False,,,2,r,False,False,,,f,T_foil,3,,1728,DEBUGV2,1 (933).jpg,0.0-12.0-10.0-0.25,0,True,True,0,False,False,False,False,True,True,False,8,8,False,9,0,,,1,,,,0,,,,,images/1 (933).jpg,Fn+1,Fn,,0,0,0,,DEBUGV2,,,initialTest_response,26,26,0,401,30766,0.52,608,image-keyboard-response,0,1,0,"tested only, not in next trial",,,,2562
DEBUGV2,7nSGZyf94VsfBpvRvBNM,0,True,,,2,r,False,False,,,f,T_foil,3,,1728,DEBUGV2,1 (2079).jpg,0.0-7.0-10.0-0.4,0,True,True,0,False,False,False,False,True,True,True,3,3,4,4,0,,,1,,,,0,,,,,images/1 (2079).jpg,Fnn+1,Fnn,,0,0,0,,DEBUGV2,,,initialTest_response,5,5,24,162,24053,0.41,207,image-keyboard-response,0,1,1,"tested only, in next trial",,,,2562
DEBUGV2,7rDDvfg83fDr1gonJP9a,,False,,,2,r,,,,,,T_nontarget,3,,1728,DEBUGV2,1 (471).jpg,0.0-14.0-2.0-0.27,0,True,True,0,,True,True,False,False,False,False,10,10,0,5,0,,,1,,,,,,,,,images/1 (471).jpg,A,A,,28,28,0,,DEBUGV2,,,initial_study,0,0,0,208,32466,0.55,718,image-keyboard-response,1,0,0,"studied only, not in trial",,,,2562
DEBUGV2,7s2S03Za72Fho8h3Fed6,,True,,,2,r,,,,,,T_target,3,,1728,DEBUGV2,1 (1462).jpg,0.0-7.0-2.0-0.11,0,True,True,0,,True,True,False,True,True,True,3,3,4,8,0,,,1,,,,,,,,,images/1 (1462).jpg,Dn+1,Dn,,12,12,0,,DEBUGV2,,,initial_study,3,3,4,384,23570,0.40,170,image-keyboard-response,1,1,1,"current target, in next trial",,,,2562
DEBUGV2,7yQhVgamC6efhy5KmlyC,,True,,,2,r,,,,,,T_nontarget,3,,1728,DEBUGV2,1 (1772).jpg,0.0-14.0-2.0-0.0,0,True,True,0,,True,True,False,False,False,False,10,10,0,8,0,,,1,,,,,,,,,images/1 (1772).jpg,Cn+1,Cn,,1,1,0,,DEBUGV2,,,initial_study,0,0,0,372,32137,0.55,691,image-keyboard-response,1,0,1,"studied only, in next trial",,,,2562
DEBUGV2,81EsitOUGCyP4jDmqAlc,0,False,,,2,r,False,False,,,f,T_foil,3,,1728,DEBUGV2,1 (1740).jpg,0.0-11.0-10.0-0.12,0,False,True,0,False,False,False,False,True,True,False,7,7,False,,0,,,1,,,,0,,,,,images/1 (1740).jpg,Fn+1,Fn,,0,0,0,,DEBUGV2,,,initialTest_response,13,13,0,0,29192,0.50,519,image-keyboard-response,0,1,0,"tested only, not in next trial",,,,2562
